Climate	B-PROCESS
-	I-PROCESS
model	I-PROCESS
predictions	I-PROCESS
of	O
a	O
weakened	O
Atlantic	B-PROCESS
overturning	I-PROCESS
circulation	I-PROCESS
in	O
the	O
coming	O
decades	O
,	O
slowing	O
and	O
diminishing	O
North	B-LOCATION
Atlantic	I-LOCATION
heat	B-PROCESS
transport	I-PROCESS
,	O
has	O
the	O
potential	O
to	O
accentuate	O
Mediterranean	B-QUALITY
rising	I-QUALITY
rates	I-QUALITY
,	O
with	O
significant	O
implications	O
for	O
the	O
basin	O
'	O
s	O
coastal	B-ACTOR
societies	I-ACTOR
,	O
infrastructure	B-RESOURCE
and	O
economies	B-QUALITY
.	O
