After	O
reviewing	O
all	O
published	O
data	O
sources	O
,	O
we	O
report	O
that	O
the	O
density	B
of	O
bearded	B
seals	I
in	O
Canada	B
were	O
highest	O
(	O
and	O
highly	O
variable	O
)	O
in	O
the	O
Beaufort	B
Sea	I
(	O
0	O
.	O
018	O
.	O
68	O
seals	B
*	O
km2	O
)	O
,	O
then	O
in	O
Baffin	B
Bay	I
-	I
Davis	I
Strait	I
(	O
0	O
.	O
0048	O
.	O
3	O
seals	B
*	O
km2	O
)	O
,	O
and	O
lowest	O
and	O
less	O
variable	O
inter	O
-	O
annually	O
in	O
the	O
Hudson	B
Complex	I
(	O
0	O
.	O
02	O
to	O
0	O
.	O
12	O
seals	B
*	O
km2	O
)	O
at	O
the	O
time	O
of	O
these	O
surveys	O
.	O
