It	O
has	O
been	O
found	O
that	O
:	O
(	O
1	O
)	O
sinkholes	B
have	O
formed	O
within	O
a	O
strip	B
50	O
-	O
100	O
m	O
wide	O
along	O
the	O
salt	B
formation	I
edge	I
;	O
(	O
2	O
)	O
a	O
zone	O
with	O
a	O
large	O
density	B
of	O
cavities	B
with	O
a	O
total	O
volume	O
of	O
tens	O
of	O
thousands	O
of	O
cubic	O
meters	O
have	O
been	O
inferred	O
in	O
sinkhole	B
sites	I
;	O
(	O
3	O
)	O
cavities	B
underlying	O
sinkholes	B
are	O
filled	O
with	O
unconsolidated	B
sediments	I
locally	O
reducing	O
hydraulic	B
conductivity	I
.	O
