Finally	O
,	O
based	O
on	O
the	O
current	O
status	O
of	O
mangrove	B-PROCESS
restoration	I-PROCESS
in	O
China	B-LOCATION
,	O
there	O
is	O
a	O
discussion	O
on	O
the	O
future	O
emphasis	O
of	O
mangrove	B-PROCESS
restoration	I-PROCESS
researches	O
,	O
which	O
is	O
(	O
1	O
)	O
undertaking	O
mangrove	B-PROCESS
rehabilitation	I-PROCESS
in	O
the	O
abandonedaquaculture	B-RESOURCE
ponds	I-RESOURCE
;	O
(	O
2	O
)	O
monitoring	B-PROCESS
on	O
the	O
restoration	B-PROCESS
of	I-PROCESS
biodiversity	I-PROCESS
in	O
the	O
mangrove	B-RESOURCE
ecosystem	I-RESOURCE
;	O
(	O
3	O
)	O
researching	O
on	O
allelopathy	B-PROCESS
in	O
mangrove	B-RESOURCE
ecosystem	I-RESOURCE
more	O
elaborately	O
;	O
(	O
4	O
)	O
afforesting	B-PROCESS
mixed	O
stands	O
with	O
different	O
mangrove	B-RESOURCE
species	I-RESOURCE
;	O
and	O
at	O
last	O
but	O
not	O
the	O
least	O
(	O
5	O
)	O
implementing	O
ecological	B-PROCESS
restoration	I-PROCESS
of	O
mangrove	B-RESOURCE
wetlands	I-RESOURCE
.	O
