While	O
FA	B
composition	I
of	O
the	O
two	O
Gammarus	B
populations	O
differed	O
significantly	O
,	O
those	O
of	O
seston	B
were	O
practically	O
similar	O
:	O
the	O
composition	B
of	O
long	B
-	I
chain	I
unsaturated	I
fatty	I
acids	I
,	O
20	O
:	O
53	O
,	O
22	O
:	O
63	O
and	O
20	O
:	O
46	O
,	O
were	O
significantly	O
higher	O
in	O
animals	B
from	O
saline	B
Shira	B
Lake	I
,	O
whereas	O
16	O
:	O
1	O
and	O
16	O
:	O
0	O
were	O
higher	O
in	O
the	O
freshwater	B
populations	I
of	O
amphipods	B
from	O
the	O
Bugach	B
freshwater	I
reservoir	I
.	O
